ID,Engaj,Idade,Regiao_int,Tipo_Cliente,Total_gasto,Tempo_relacionamento,Campanha,Status,Sexo_num,Regiao_brk,email
0000000140,10,76,CO04,16,16000,4,0,Ouro,99,Centro-0este,fake_email@corporate.co
0000000620,4,49,CO04,35,6000,5,0,Ouro,99,Centro-0este,fake_email@corporate.co
0000000868,5,70,CO04,27,0.02,8,1,Prata,1,Centro-0este,fake_email@corporate.co
0000001120,10,65,CO02,51,0.01,7,1,Bronze,0,Centro-0este,fake_email@corporate.co
0000002313,11,68,CO02,04,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000002771,9,72,N02,28,20759.81,3,0,Platino,99,Norte,fake_email@corporate.co
0000003131,11,74,CO01,03,0.01,8,0,Bronze,1,Centro-0este,fake_email@corporate.co
0000003328,13,62,N01,32,0.01,5,0,Bronze,0,Norte,fake_email@corporate.co
0000004529,10,62,CO01,49,2038.76,3,0,Prata,0,Centro-0este,fake_email@corporate.co
0000005886,14,43,,49,6000,1,1,Ouro,1,,fake_email@corporate.co
0000007420,7,60,N01,52,11000,2,0,Ouro,1,Norte,fake_email@corporate.co
0000009814,5,,L01,24,5000,1,1,Prata,0,Leste,fake_email@corporate.co
0000010006,9,51,CO02,52,300,11,0,Prata,1,Centro-0este,fake_email@corporate.co
0000010219,6,64,L02,19,0.01,9,0,Bronze,1,Leste,fake_email@corporate.co
0000010812,16,37,L01,18,0.01,4,1,Bronze,1,Leste,fake_email@corporate.co
0000011207,8,54,CO02,28,1420,1,0,Prata,0,Centro-0este,fake_email@corporate.co
0000011932,5,70,CO02,15,6104.66,8,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000014656,,42,CO01,19,0.01,5,1,Bronze,1,Centro-0este,fake_email@corporate.co
0000015350,7,,S02,40,0.01,5,1,Bronze,1,Sul,fake_email@corporate.co
0000017302,7,49,L01,28,0.01,7,0,Bronze,1,Leste,fake_email@corporate.co
0000019496,9,66,CO02,49,500,12,0,Prata,1,Centro-0este,fake_email@corporate.co
0000019763,9,74,CO04,08,6000,2,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000020478,6,70,CO01,37,16000,2,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000020761,7,66,L02,30,1000,5,0,Prata,0,Leste,fake_email@corporate.co
0000023124,6,46,L01,27,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000024554,10,39,CO03,,0.01,5,0,Bronze,0,Centro-0este,fake_email@corporate.co
0000024880,7,75,CO01,12,4000,7,0,Prata,0,Centro-0este,fake_email@corporate.co
0000026387,,72,CO03,,1250,23,1,Prata,1,Centro-0este,fake_email@corporate.co
0000027715,7,43,N02,53,0.01,5,1,Bronze,0,Norte,fake_email@corporate.co
0000029173,7,62,CO04,24,20000,4,0,Ouro,1,Centro-0este,fake_email@corporate.co
0000029440,8,37,O,05,1000,9,1,Prata,0,0este,fake_email@corporate.co
0000030600,9,49,L01,48,0.01,8,0,Bronze,1,Leste,fake_email@corporate.co
0000030937,8,79,N01,32,6000,1,0,Ouro,1,Norte,fake_email@corporate.co
