ID,Engaj,Idade,Regiao_int,Tipo_Cliente,Total_gasto,Tempo_relacionamento,Campanha,Status,email,Sexo,Regiao
140,10,76,CO04,16,16000,4,0,Ouro,fake_email@corporate.co,U,Centro-Oeste
620,4,49,CO04,35,6000,5,0,Ouro,fake_email@corporate.co,U,Centro-Oeste
868,5,70,CO04,27,0.02,8,1,Prata,fake_email@corporate.co,F,Centro-Oeste
1120,10,65,CO02,51,0.01,7,1,Bronze,fake_email@corporate.co,M,Centro-Oeste
2313,11,68,CO02,4,0.01,8,0,Bronze,fake_email@corporate.co,F,Centro-Oeste
2771,9,72,N02,28,20759.81,3,0,Platino,fake_email@corporate.co,U,Norte
3131,11,74,CO01,3,0.01,8,0,Bronze,fake_email@corporate.co,F,Centro-Oeste
3328,13,62,N01,32,0.01,5,0,Bronze,fake_email@corporate.co,M,Norte
4529,10,62,CO01,49,2038.76,3,0,Prata,fake_email@corporate.co,M,Centro-Oeste
5886,14,43,,49,6000,1,1,Ouro,fake_email@corporate.co,F,
7420,7,60,N01,52,11000,2,0,Ouro,fake_email@corporate.co,F,Norte
9814,5,,L01,24,5000,1,1,Prata,fake_email@corporate.co,M,Leste
10006,9,51,CO02,52,300,11,0,Prata,fake_email@corporate.co,F,Centro-Oeste
10219,6,64,L02,19,0.01,9,0,Bronze,fake_email@corporate.co,F,Leste
10812,16,37,L01,18,0.01,4,1,Bronze,fake_email@corporate.co,F,Leste
11207,8,54,CO02,28,1420,1,0,Prata,fake_email@corporate.co,M,Centro-Oeste
11932,5,70,CO02,15,6104.66,8,0,Ouro,fake_email@corporate.co,F,Centro-Oeste
14656,,42,CO01,19,0.01,5,1,Bronze,fake_email@corporate.co,F,Centro-Oeste
15350,7,,S02,40,0.01,5,1,Bronze,fake_email@corporate.co,F,Sul
17302,7,49,L01,28,0.01,7,0,Bronze,fake_email@corporate.co,F,Leste
19496,9,66,CO02,49,500,12,0,Prata,fake_email@corporate.co,F,Centro-Oeste
19763,9,74,CO04,8,6000,2,0,Ouro,fake_email@corporate.co,F,Centro-Oeste
20478,6,70,CO01,37,16000,2,0,Ouro,fake_email@corporate.co,F,Centro-Oeste
20761,7,66,L02,30,1000,5,0,Prata,fake_email@corporate.co,M,Leste
23124,6,46,L01,27,0.01,8,0,Bronze,fake_email@corporate.co,F,Leste
24554,10,39,CO03,,0.01,5,0,Bronze,fake_email@corporate.co,M,Centro-Oeste
24880,7,75,CO01,12,4000,7,0,Prata,fake_email@corporate.co,M,Centro-Oeste
26387,,72,CO03,,1250,23,1,Prata,fake_email@corporate.co,F,Centro-Oeste
27715,7,43,N02,53,0.01,5,1,Bronze,fake_email@corporate.co,M,Norte
29173,7,62,CO04,24,20000,4,0,Ouro,fake_email@corporate.co,F,Centro-Oeste
29440,8,37,O,5,1000,9,1,Prata,fake_email@corporate.co,M,Oeste
30600,9,49,L01,48,0.01,8,0,Bronze,fake_email@corporate.co,F,Leste
30937,8,79,N01,32,6000,1,0,Ouro,fake_email@corporate.co,F,Norte
39330,,,CO01,50,0.01,4,0,Bronze,fake_email@corporate.co,M,Centro-Oeste
41092,3,50,CO01,35,9800,3,0,Ouro,fake_email@corporate.co,F,Centro-Oeste
41475,,66,L01,28,0.01,11,0,Bronze,fake_email@corporate.co,M,Leste
42439,15,35,CO04,19,1630,5,1,Prata,fake_email@corporate.co,F,Centro-Oeste
45799,10,71,CO04,14,1500,5,0,Prata,fake_email@corporate.co,F,Centro-Oeste
46906,7,44,N02,51,1000,1,0,Prata,fake_email@corporate.co,F,Norte
50237,8,42,N01,15,0.01,5,0,Bronze,fake_email@corporate.co,M,Norte
51950,9,68,O,8,6053.25,5,1,Ouro,fake_email@corporate.co,F,Oeste
54496,9,31,N03,32,0.01,4,0,Bronze,fake_email@corporate.co,F,Norte
56073,8,70,L01,12,19053.82,15,0,Ouro,fake_email@corporate.co,F,Leste
57002,7,72,N01,38,20526.96,3,0,Platino,fake_email@corporate.co,F,Norte
57622,12,41,CO01,,0.01,9,0,Bronze,fake_email@corporate.co,M,Centro-Oeste
59056,9,37,N01,52,6000,1,1,Ouro,fake_email@corporate.co,F,Norte
59862,8,58,N02,24,10053.35,7,0,Ouro,fake_email@corporate.co,F,Norte
63002,7,47,L01,31,0.02,5,0,Prata,fake_email@corporate.co,F,Leste
63983,8,71,CO01,37,1000,6,0,Prata,fake_email@corporate.co,M,Centro-Oeste
71986,8,62,CO02,27,1000,5,1,Prata,fake_email@corporate.co,F,Centro-Oeste
72559,15,72,CO02,37,6340.26,12,0,Ouro,fake_email@corporate.co,U,Centro-Oeste
73148,8,39,CO02,44,2241.36,4,1,Prata,fake_email@corporate.co,F,Centro-Oeste
75205,6,76,CO04,34,12000,19,0,Ouro,fake_email@corporate.co,M,Centro-Oeste
75469,7,61,S01,11,6000,11,1,Ouro,fake_email@corporate.co,F,Sul
80322,6,53,CO02,32,0.01,5,0,Bronze,fake_email@corporate.co,F,Centro-Oeste
80608,8,60,N03,22,60,11,1,Prata,fake_email@corporate.co,M,Norte
82678,15,42,L01,52,0.01,5,1,Bronze,fake_email@corporate.co,F,Leste
83852,13,,L01,4,5000,4,0,Prata,fake_email@corporate.co,F,Leste
84573,10,57,CO02,38,50,11,0,Prata,fake_email@corporate.co,F,Centro-Oeste
87750,6,45,CO02,51,0.01,4,0,Bronze,fake_email@corporate.co,M,Centro-Oeste
89796,11,75,CO01,12,3052.66,8,1,Prata,fake_email@corporate.co,F,Centro-Oeste
91588,8,37,N03,38,0.01,5,1,Bronze,fake_email@corporate.co,F,Norte
93564,13,61,O,42,3000,8,0,Prata,fake_email@corporate.co,U,Oeste
